case_id,repository,revision,operator,workflow_kind,oracle_kind,result_source,evaluated,outcome,semantic_status
B02-07,kLabUM/rrcf,1795a1b4dd39a3ffb196be7e251b177b3d1ab489,random-seed,upstream-test,assertion,D027,True,survived,confirmed-non-equivalent
B02-08,eric-mitchell/detect-gpt,447d2ce8177004203f42d1da87d7f93a2e31ad52,random-seed,documented-experiment,completion-only,none,False,,not-run
B02-09,gnina/libmolgrid,e11f058c2ae6baa6483fe0b8ba0f5c0dbc86fc10,random-seed,upstream-test,assertion,none,False,,not-run
B02-10,xucong-zhang/ETH-XGaze,3abb72840deb954df1c4ea5d89f243d7bd0d085f,random-seed,documented-experiment,completion-only,none,False,,not-run
B02-11,princeton-nlp/SimCSE,49fa580a853752ede55b8c76d9debf748e214d3f,dependency-pin,documented-validation,completion-only,none,False,,not-run
B02-12,sunblaze-ucb/dpml-benchmark,95feb4683acc421b9fe970b10249e3deec98d7a8,dependency-pin,documented-experiment,completion-only,none,False,,not-run
B02-13,rcamino/multi-categorical-gans,7234d5dc41f476bb36b00cab13326fcdd5c43fcd,dependency-pin,documented-experiment,completion-only,none,False,,not-run
B02-14,IBM/concept_transformer,84c9c30108a6249e017d580c4120ea54af0064f7,dependency-pin,upstream-test,assertion,primary,True,equivalent,confirmed-equivalent
B02-15,apple/ml-cvpr2019-swd,58acb020f6d22fb7b0f3b7bddbdc1d4c2e46566a,dependency-pin,documented-example,completion-only,D027,True,killed,confirmed-non-equivalent
B02-16,GestureGeneration/Speech_driven_gesture_generation_with_autoencoder,59e8ebdb0f6e87b0e81268046c99a4d6c9bf62a8,dependency-pin,documented-experiment,completion-only,none,False,,not-run
B02-17,AaltoML/BayesNewton,f72ae9a6ca69f9cce8e62135c9f78dda4825b4df,dependency-pin,upstream-test,assertion,none,False,,not-run
B02-18,pulimeng/eToxPred,deff5be7d5e9951dc0e82e0e63dafc89c74fe883,dependency-pin,documented-validation,completion-only,D027,True,survived,confirmed-non-equivalent
B02-19,ddd9898/DeepNano,82b12d4dc04a391e0f13d20b207a4b3f9c0db651,dependency-pin,documented-validation,completion-only,primary,True,killed,confirmed-non-equivalent
B02-20,MKMaS-GUET/SSJE,177c207d4477fa06ddbd7587d18e105e29d6f1dc,dependency-pin,documented-experiment,completion-only,none,False,,not-run
B02-21,thomas-young-2013/mindware,002ec06bf139b14bc059e0f0438501b31d9ed16a,data-split,ci,completion-only,D027,True,survived,confirmed-non-equivalent
B02-22,Alcoholrithm/PTaRL,2845a6cc9ee376453d1693a996374c42bd984f2a,data-split,upstream-test,completion-only,D027,True,survived,confirmed-non-equivalent
B02-23,tfmortie/setvaluedprediction,8c6343dd9c04801e9c887979b32adf760ff784df,data-split,upstream-test,completion-only,D027,True,survived,confirmed-non-equivalent
B02-24,lucazav/binclass-tools,d45de9e2fcec86104e837e837f8ec5f32b4a8d4b,data-split,upstream-test,assertion,none,False,,not-run
B02-25,ECOLE-ITN/NguyenSSCI2021,563c3048d13ce3b0327913b5d493211dc1cbfe7d,data-split,upstream-test,completion-only,none,False,,not-run
B02-26,tungtokyo1108/PolicySynth,cbf144ab0fdb4fd569fc1b1bb587d67373a76e5c,data-split,documented-example,completion-only,primary,True,survived,confirmed-non-equivalent
B02-27,rsteca/sklearn-deap,3ec2df4ec319dbf7a18b98a43ea30ef10f97bb90,cv-fold-count,upstream-test,assertion,D027,True,survived,confirmed-non-equivalent
B02-28,ogozuacik/d3-discriminative-drift-detector-concept-drift,de9dbc748b17b3f95c8328930d4d6035084047fd,cv-fold-count,documented-experiment,completion-only,D027,True,survived,confirmed-non-equivalent
B02-29,farshidrayhancv/CUSBoost,6b489e099bdb83e2089b2f7f105b72ea9b5becad,cv-fold-count,documented-experiment,completion-only,D027,True,survived,confirmed-non-equivalent
